Indicador;Tipo;Ano;Tipo valor;Valor
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2020;;sem informação
Índice de Absenteísmo-Doença;Nacional;2015;;sem informação
Índice de Absenteísmo-Doença;Nacional;2016;;sem informação
Índice de Absenteísmo-Doença;Nacional;2017;Percentual;1,58%
Índice de Absenteísmo-Doença;Nacional;2018;Percentual;2,50%
Índice de Absenteísmo-Doença;Nacional;2019;Percentual;2,42%
Índice de Absenteísmo-Doença;Nacional;2020;Percentual;1,55%
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2015;;sem informação
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2016;;sem informação
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2017;Percentual;11,25%
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2018;Percentual;2,28%
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2019;Percentual;2,67%
"Percentual da Força de Trabalho Total Participante de Ações de Qualidade de Vida no
Trabalho
";Nacional;2020;Percentual;12,19%
 Índice de Capacitação de Magistrados;Nacional;2015;;sem informação
 Índice de Capacitação de Magistrados;Nacional;2016;;sem informação
 Índice de Capacitação de Magistrados;Nacional;2017;;sem informação
 Índice de Capacitação de Magistrados;Nacional;2018;;sem informação
 Índice de Capacitação de Magistrados;Nacional;2019;;sem informação
 Índice de Capacitação de Magistrados;Nacional;2020;;sem informação
Índice de Capacitação de Servidores; Institucional;2015;;sem informação
Índice de Capacitação de Servidores; Institucional;2016;;sem informação
Índice de Capacitação de Servidores; Institucional;2017;;sem informação
Índice de Capacitação de Servidores; Institucional;2018;;sem informação
Índice de Capacitação de Servidores; Institucional;2019;;sem informação
Índice de Capacitação de Servidores; Institucional;2020;;sem informação
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2015;;sem informação
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2016;Percentual;89,32%
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2017;Percentual;87,83%
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2018;Percentual;87,26%
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2019;Percentual;86,78%
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2020;Percentual;86,92%
IDOB - Índice de Dotações para Despesas Obrigatórias;Nacional;2021;Percentual;"88,66%
"
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2015;;sem informação
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2016;Percentual;75,88%
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2017;Percentual;90,10%
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2018;Percentual;93,88%
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2019;Percentual;89,37%
IEDD - Índice de Execução da Dotações para Despesas Discricionárias;Nacional;2020;Percentual;82,10%
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2015;;sem informação
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2016;Percentual;73,13%
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2017;Percentual;89,04%
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2018;Percentual;97,80%
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2019;Percentual;85,41%
" IEP - Índice de Execução das Dotações para Projetos
";Nacional;2020;Percentual;80,30%
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2015;;sem informação
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2016;;sem informação
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2017;;sem informação
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2018;;sem informação
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2019;;sem informação
 Índice de Governança, Gestão e Infraestrutura de Tecnologia da Informação e Comunicação do Poder Judiciário - IGovTIC-JUD;Nacional;2020;;sem informação
